Đại học TDTU được thành lập vào năm nào?	 Đại học TDTU được thành lập vào năm 1997.
Đại học TDTU có bao nhiêu khoa và viện?		Đại học TDTU hiện có 7 khoa và 7 viện.
Khoa nào tại Đại học TDTU nổi tiếng về ngành Công nghệ thông tin?	Khoa Công nghệ thông tin tại Đại học TDTU nổi tiếng trong lĩnh vực này.
Đại học TDTU có bao nhiêu chương trình đào tạo đại học?		Đại học TDTU đang triển khai hơn 50 chương trình đào tạo đại học.
Đại học TDTU có khuôn viên rộng bao nhiêu?	Khuôn viên của Đại học TDTU có diện tích khoảng 100 ha.
Đại học TDTU có ký túc xá cho sinh viên ở không?	Có, Đại học TDTU có ký túc xá để cung cấp chỗ ở cho sinh viên.
Đại học TDTU có chương trình học bổng cho sinh viên không?	Có, Đại học TDTU cung cấp nhiều chương trình học bổng cho sinh viên xuất sắc.
Khoa nào tại Đại học TDTU chuyên về ngành Kế toán và Kiểm toán?	Khoa Kinh tế và Quản lý tại Đại học TDTU có chuyên ngành Kế toán và Kiểm toán.
Đại học TDTU có cung cấp các chương trình đào tạo sau đại học không?	 Có, Đại học TDTU có các chương trình đào tạo sau đại học như Thạc sĩ và Tiến sĩ.
Đại học TDTU có các hoạt động ngoại khóa và câu lạc bộ sinh viên không?	 Có, Đại học TDTU có một loạt hoạt động ngoại khóa và câu lạc bộ sinh viên cho các hoạt động giải trí và phát triển cá nhân.
TDTU là viết tắt của từ gì? 	TDTU là viết tắt của Đại học Tôn Đức Thắng
Đại học TDTU có bao nhiêu cơ sở đào tạo?	 Đại học TDTU có 3 cơ sở đào tạo.
Đại học TDTU có bao nhiêu sinh viên? 	Đại học TDTU hiện có khoảng 20.000 sinh viên.
Đại học TDTU có bao nhiêu giáo viên? 	Đại học TDTU có khoảng 1.000 giáo viên.
Đại học TDTU có bao nhiêu chương trình đào tạo quốc tế không? 	Đại học TDTU có khoảng 10 chương trình đào tạo quốc tế.
Đại học TDTU có bao nhiêu chương trình đào tạo liên kết với các trường đại học nước ngoài? 	Đại học TDTU có khoảng 15 chương trình đào tạo liên kết.
Đại học TDTU có bao nhiêu chương trình đào tạo tiếng Anh không? 	Đại học TDTU có khoảng 20 chương trình đào tạo tiếng Anh.
Đại học TDTU có bao nhiêu chương trình đào tạo tiến sĩ không? 	Đại học TDTU có khoảng 10 chương trình đào tạo tiến sĩ.
Đại học TDTU có bao nhiêu chương trình đào tạo thạc sĩ không?	 Đại học TDTU có khoảng 15 chương trình đào tạo thạc sĩ.
Đại học TDTU có bao nhiêu chương trình đào tạo từ xa không? 	Đại học TDTU có khoảng 5 chương trình đào tạo từ xa.
Đại học TDTU có bao nhiêu chương trình đào tạo sau đại học không? 	Đại học TDTU có khoảng 25 chương trình đào tạo sau đại học.
Đại học TDTU có bao nhiêu chương trình đào tạo tiếng Pháp không? 	Đại học TDTU có khoảng 3 chương trình đào tạo tiếng Pháp.
Đại học TDTU có bao nhiêu chương trình đào tạo tiếng Nhật không? 	Đại học TDTU có khoảng 2 chương trình đào tạo tiếng Nhật.
Đại học TDTU có bao nhiêu chương trình đào tạo tiếng Hàn không? 	Đại học TDTU có khoảng 4 chương trình đào tạo tiếng Hàn.
Đại học TDTU có bao nhiêu chương trình đào tạo tiếng Trung không? 	Đại học TDTU có khoảng 5 chương trình đào tạo tiếng Trung.
